Date,City,Temperature_C,Humidity_%,Precipitation_mm,Wind_Speed_km_h
2024-12-11,Long Beach,12.5,71.5,0.8,9.9
2024-12-11,Oakland,4.9,64.0,0.5,14.4
2024-12-11,Bakersfield,10.2,60.0,1.6,16.2
2024-12-11,Anaheim,16.3,70.2,3.1,10.8
2024-12-12,Los Angeles,14.3,64.0,0.4,6.0
2024-12-12,San Francisco,15.6,65.1,3.4,10.9
2024-12-12,San Diego,14.7,57.3,1.7,5.6
2024-12-12,Sacramento,11.3,63.0,3.5,14.8
2024-12-12,San Jose,16.5,57.5,1.7,19.1
2024-12-12,Fresno,19.0,63.7,1.7,23.3
2024-12-12,Long Beach,13.4,57.3,1.0,24.6
2024-12-12,Oakland,15.2,63.8,0.3,12.6
2024-12-12,Bakersfield,10.5,59.5,0.6,11.7
2024-12-12,Anaheim,15.7,66.0,3.5,23.5
2024-12-13,Los Angeles,8.2,56.4,0.2,24.2
2024-12-13,San Francisco,20.1,73.9,9.2,11.1
2024-12-13,San Diego,20.9,71.2,3.2,13.8
2024-12-13,Sacramento,10.1,50.9,0.4,9.7
2024-12-13,San Jose,13.8,57.6,0.3,19.6
2024-12-13,Fresno,9.5,65.2,0.9,13.6
2024-12-13,Long Beach,17.3,71.8,0.3,22.0
2024-12-13,Oakland,7.1,72.9,0.0,9.4
2024-12-13,Bakersfield,13.5,67.9,0.5,22.2
2024-12-13,Anaheim,20.5,66.6,0.2,14.9
2024-12-14,Los Angeles,20.5,72.5,8.5,20.0
2024-12-14,San Francisco,4.3,82.2,2.2,10.0
2024-12-14,San Diego,14.3,60.5,0.5,11.1
2024-12-14,Sacramento,10.9,69.3,0.9,20.3
2024-12-14,San Jose,10.7,57.1,1.6,22.9
2024-12-14,Fresno,8.7,59.3,1.9,6.5
2024-12-14,Long Beach,22.7,60.7,0.5,10.1
2024-12-14,Oakland,6.4,82.0,2.6,6.6
2024-12-14,Bakersfield,13.1,56.3,0.5,12.4
2024-12-14,Anaheim,11.1,74.7,0.4,6.0
2024-12-15,Los Angeles,12.4,68.4,2.6,17.3
2024-12-15,San Francisco,9.2,88.7,3.5,20.5
2024-12-15,San Diego,17.3,64.5,6.8,21.2
2024-12-15,Sacramento,16.5,52.6,0.4,23.9
2024-12-15,San Jose,10.5,67.4,6.0,5.1
2024-12-15,Fresno,16.6,66.4,0.0,6.6
2024-12-15,Long Beach,14.8,55.9,0.1,9.1
2024-12-15,Oakland,16.5,74.8,0.7,11.3
2024-12-15,Bakersfield,15.8,47.2,0.3,15.4
2024-12-15,Anaheim,13.8,79.3,2.3,6.3
2024-12-16,Los Angeles,19.0,57.2,1.5,23.9
2024-12-16,San Francisco,1.7,71.5,2.6,15.8
2024-12-16,San Diego,17.9,58.1,0.4,16.6
2024-12-16,Sacramento,6.6,52.2,0.9,23.3
2024-12-16,San Jose,12.2,65.7,4.9,7.5
2024-12-16,Fresno,16.0,51.6,0.3,22.5
2024-12-16,Long Beach,7.9,52.4,3.3,15.4
2024-12-16,Oakland,0.3,84.9,11.2,23.9
2024-12-16,Bakersfield,5.7,68.4,2.2,6.8
2024-12-16,Anaheim,14.0,59.4,9.6,20.4
2024-12-17,Los Angeles,15.1,69.8,0.2,17.9
2024-12-17,San Francisco,13.3,80.3,0.1,8.5
2024-12-17,San Diego,19.9,76.8,0.3,19.0
2024-12-17,Sacramento,9.2,40.9,1.9,15.4
2024-12-17,San Jose,16.3,66.7,1.0,16.4
2024-12-17,Fresno,9.9,41.1,1.6,8.9
2024-12-17,Long Beach,15.9,75.6,2.3,14.8
2024-12-17,Oakland,7.9,88.6,0.3,15.9
2024-12-17,Bakersfield,6.5,54.9,0.4,16.3
2024-12-17,Anaheim,11.7,75.3,0.7,12.2
2024-12-18,Los Angeles,18.9,70.3,0.6,20.6
2024-12-18,San Francisco,23.2,73.9,4.7,22.0
2024-12-18,San Diego,17.2,51.7,0.6,16.5
2024-12-18,Sacramento,1.9,66.0,5.9,19.6
2024-12-18,San Jose,11.9,69.4,1.0,11.1
2024-12-18,Fresno,8.3,70.0,5.2,16.5
2024-12-18,Long Beach,13.6,65.9,0.2,8.9
2024-12-18,Oakland,18.7,67.8,4.5,17.7
2024-12-18,Bakersfield,9.7,48.3,2.8,6.5
2024-12-18,Anaheim,13.5,63.2,9.2,10.9
2024-12-19,Los Angeles,13.6,67.4,1.5,7.6
2024-12-19,San Francisco,4.3,78.3,3.6,18.1
2024-12-19,San Diego,22.0,59.7,14.8,5.5
2024-12-19,Sacramento,13.7,54.4,3.7,10.0
2024-12-19,San Jose,15.8,41.1,0.1,23.4
2024-12-19,Fresno,15.4,51.4,1.6,18.1
2024-12-19,Long Beach,13.8,76.3,1.2,16.7
2024-12-19,Oakland,13.8,68.2,1.4,6.4
2024-12-19,Bakersfield,8.8,49.9,1.4,15.3
2024-12-19,Anaheim,11.3,62.1,0.5,7.9
2024-12-20,Los Angeles,21.0,55.6,2.5,12.9
2024-12-20,San Francisco,5.3,77.2,1.6,9.2
2024-12-20,San Diego,22.2,58.8,0.9,16.4
2024-12-20,Sacramento,15.6,69.5,0.2,5.7
2024-12-20,San Jose,10.7,49.0,0.6,13.0
2024-12-20,Fresno,6.6,57.9,5.4,5.0
2024-12-20,Long Beach,18.0,59.6,1.6,15.3
2024-12-20,Oakland,3.4,60.5,0.4,12.7
2024-12-20,Bakersfield,11.7,49.0,1.4,8.5
2024-12-20,Anaheim,13.6,66.6,11.9,12.1
2024-12-21,Los Angeles,13.3,56.1,0.3,20.2
2024-12-21,San Francisco,15.8,77.0,0.4,21.5
2024-12-21,San Diego,17.2,70.1,4.8,14.8
2024-12-21,Sacramento,13.6,57.0,0.0,15.7
2024-12-21,San Jose,17.9,41.1,3.7,23.8
2024-12-21,Fresno,6.6,48.0,1.8,14.0
2024-12-21,Long Beach,11.5,68.1,0.8,9.8
2024-12-21,Oakland,6.5,72.0,0.2,23.2
2024-12-21,Bakersfield,9.0,45.9,0.3,10.2
2024-12-21,Anaheim,4.3,53.8,1.3,20.5
2024-12-22,Los Angeles,19.4,62.0,0.0,7.7
2024-12-22,San Francisco,9.7,88.3,3.5,16.0
2024-12-22,San Diego,11.6,72.7,3.9,21.9
2024-12-22,Sacramento,18.9,57.9,1.3,9.9
2024-12-22,San Jose,16.6,67.4,0.0,20.5
2024-12-22,Fresno,23.9,49.8,1.7,21.4
2024-12-22,Long Beach,13.7,74.3,0.6,14.1
2024-12-22,Oakland,12.5,88.4,2.2,9.1
2024-12-22,Bakersfield,16.4,50.7,0.9,24.6
2024-12-22,Anaheim,26.0,55.2,0.8,24.9
2024-12-23,Los Angeles,13.6,64.5,2.0,6.9
2024-12-23,San Francisco,22.1,73.9,0.3,13.7
2024-12-23,San Diego,8.1,61.3,1.1,11.2
2024-12-23,Sacramento,16.7,54.9,1.4,6.3
2024-12-23,San Jose,8.2,43.9,1.2,15.4
2024-12-23,Fresno,11.9,61.1,4.5,22.0
2024-12-23,Long Beach,14.4,66.2,1.8,17.2
2024-12-23,Oakland,12.2,60.6,3.6,21.4
2024-12-23,Bakersfield,7.8,67.3,3.1,11.6
2024-12-23,Anaheim,11.8,61.3,0.8,16.1
2024-12-24,Los Angeles,22.0,53.6,7.6,9.2
2024-12-24,San Francisco,18.6,73.9,1.8,21.5
2024-12-24,San Diego,17.5,79.9,1.7,20.0
2024-12-24,Sacramento,11.8,68.3,3.5,23.2
2024-12-24,San Jose,9.0,63.0,1.3,6.4
2024-12-24,Fresno,5.8,41.9,3.2,17.3
2024-12-24,Long Beach,9.9,60.9,0.8,20.1
2024-12-24,Oakland,-1.3,87.8,1.0,19.2
2024-12-24,Bakersfield,13.9,55.9,0.7,18.3
2024-12-24,Anaheim,14.8,66.0,0.3,12.9
2024-12-25,Los Angeles,22.8,53.9,3.5,6.2
2024-12-25,San Francisco,9.1,87.2,1.7,24.2
2024-12-25,San Diego,12.4,67.4,3.1,14.3
2024-12-25,Sacramento,15.4,56.6,0.9,8.3
2024-12-25,San Jose,7.1,62.1,0.5,21.8
2024-12-25,Fresno,16.3,49.1,3.7,10.4
2024-12-25,Long Beach,13.2,55.2,0.6,14.6
2024-12-25,Oakland,2.0,77.9,1.9,11.0
2024-12-25,Bakersfield,19.0,52.5,2.8,11.4
2024-12-25,Anaheim,14.5,55.1,0.3,9.5
2024-12-26,Los Angeles,17.1,55.3,2.4,21.3
2024-12-26,San Francisco,10.7,75.0,0.9,19.0
2024-12-26,San Diego,21.6,61.7,0.0,15.7
2024-12-26,Sacramento,5.6,49.2,2.0,13.8
2024-12-26,San Jose,13.2,67.7,0.1,11.5
2024-12-26,Fresno,10.7,50.0,1.1,13.2
2024-12-26,Long Beach,17.1,53.6,0.0,22.5
2024-12-26,Oakland,6.3,86.1,9.9,22.5
2024-12-26,Bakersfield,17.7,65.2,1.9,8.2
2024-12-26,Anaheim,18.5,60.7,0.2,10.7
2024-12-27,Los Angeles,19.8,78.3,0.0,16.2
2024-12-27,San Francisco,15.9,82.3,0.7,5.1
2024-12-27,San Diego,20.1,67.7,5.8,10.1
2024-12-27,Sacramento,4.3,47.7,7.6,19.6
2024-12-27,San Jose,15.2,59.5,0.3,18.7
2024-12-27,Fresno,18.7,43.4,0.6,16.5
2024-12-27,Long Beach,10.6,66.2,1.1,14.0
2024-12-27,Oakland,5.6,79.0,3.2,16.1
2024-12-27,Bakersfield,9.3,66.8,0.7,21.7
2024-12-27,Anaheim,24.9,67.4,3.2,21.8
2024-12-28,Los Angeles,10.6,73.7,0.6,23.9
2024-12-28,San Francisco,5.8,64.0,0.0,13.8
2024-12-28,San Diego,17.0,57.5,1.2,16.6
2024-12-28,Sacramento,18.7,50.7,0.9,17.9
2024-12-28,San Jose,13.8,56.4,3.7,9.6
2024-12-28,Fresno,7.4,43.6,0.4,18.3
2024-12-28,Long Beach,14.2,50.1,3.1,9.7
2024-12-28,Oakland,13.9,68.4,5.2,5.1
2024-12-28,Bakersfield,14.1,68.0,3.4,7.7
2024-12-28,Anaheim,9.2,77.6,1.3,8.4
2024-12-29,Los Angeles,14.9,65.3,3.4,14.1
2024-12-29,San Francisco,8.9,72.1,3.9,15.1
2024-12-29,San Diego,7.2,72.3,6.8,16.6
2024-12-29,Sacramento,16.4,57.5,1.2,14.8
2024-12-29,San Jose,13.0,54.3,4.3,6.8
2024-12-29,Fresno,14.6,44.0,8.1,9.8
2024-12-29,Long Beach,19.8,61.2,0.7,12.7
2024-12-29,Oakland,11.6,64.2,4.0,7.6
2024-12-29,Bakersfield,9.5,58.7,1.2,8.3
2024-12-29,Anaheim,19.4,63.1,0.5,23.3
2024-12-30,Los Angeles,14.2,63.4,1.2,16.8
2024-12-30,San Francisco,10.3,66.0,0.6,9.6
2024-12-30,San Diego,26.8,55.2,0.7,13.2
2024-12-30,Sacramento,12.0,60.6,0.9,19.5
2024-12-30,San Jose,17.3,43.9,5.9,6.7
2024-12-30,Fresno,10.8,42.3,5.8,7.0
2024-12-30,Long Beach,14.0,64.9,3.2,20.5
2024-12-30,Oakland,15.9,69.2,1.7,20.9
2024-12-30,Bakersfield,20.7,60.2,1.3,9.9
2024-12-30,Anaheim,18.7,57.7,4.0,22.9
2024-12-31,Los Angeles,17.4,77.3,5.5,18.3
2024-12-31,San Francisco,3.4,60.8,1.4,10.7
2024-12-31,San Diego,16.8,71.3,0.5,8.9
2024-12-31,Sacramento,16.6,45.7,2.5,23.5
2024-12-31,San Jose,22.8,64.0,0.2,5.7
2024-12-31,Fresno,7.2,61.6,0.2,14.3
2024-12-31,Long Beach,12.3,57.7,1.1,20.2
2024-12-31,Oakland,13.5,74.7,2.4,13.2
2024-12-31,Bakersfield,13.6,56.5,0.1,14.2
2024-12-31,Anaheim,25.7,58.1,0.3,11.3
2025-01-01,Los Angeles,21.0,57.0,0.2,6.0
2025-01-01,San Francisco,6.9,78.4,1.2,22.4
2025-01-01,San Diego,17.1,73.0,6.5,21.4
2025-01-01,Sacramento,10.4,51.7,0.2,24.8
2025-01-01,San Jose,14.3,66.9,1.8,11.7
2025-01-01,Fresno,17.7,52.4,1.2,12.2
2025-01-01,Long Beach,20.5,75.0,3.8,19.0
2025-01-01,Oakland,14.2,87.0,1.5,24.0
2025-01-01,Bakersfield,18.5,64.9,0.6,23.4
2025-01-01,Anaheim,13.9,52.0,1.4,7.3
2025-01-02,Los Angeles,20.6,60.6,4.3,17.1
2025-01-02,San Francisco,13.2,65.3,1.1,5.2
2025-01-02,San Diego,12.1,61.8,0.9,22.4
2025-01-02,Sacramento,26.6,47.9,1.5,20.0
2025-01-02,San Jose,14.5,69.2,0.1,18.0
2025-01-02,Fresno,18.4,54.0,0.6,6.1
2025-01-02,Long Beach,24.7,63.3,0.8,8.2
2025-01-02,Oakland,17.6,79.5,4.4,5.4
2025-01-02,Bakersfield,19.4,43.0,1.7,14.6
2025-01-02,Anaheim,22.7,72.3,4.2,20.7
2025-01-03,Los Angeles,30.0,51.2,0.0,14.4
2025-01-03,San Francisco,26.9,79.2,1.1,10.6
2025-01-03,San Diego,23.9,50.3,5.4,5.5
2025-01-03,Sacramento,23.6,42.7,6.5,21.2
2025-01-03,San Jose,14.7,59.6,1.4,11.2
2025-01-03,Fresno,13.7,47.6,0.4,23.9
2025-01-03,Long Beach,22.8,66.8,0.0,13.1
2025-01-03,Oakland,-0.7,88.8,0.1,19.1
2025-01-03,Bakersfield,22.0,40.2,0.6,7.0
2025-01-03,Anaheim,15.8,59.9,0.0,20.4
2025-01-04,Los Angeles,7.6,52.6,0.2,23.3
2025-01-04,San Francisco,10.2,81.8,1.9,10.2
2025-01-04,San Diego,21.6,75.2,3.8,17.2
2025-01-04,Sacramento,16.5,56.8,2.7,22.0
2025-01-04,San Jose,16.4,47.6,4.9,24.6
2025-01-04,Fresno,22.7,59.0,2.4,15.4
2025-01-04,Long Beach,22.8,65.0,0.9,6.6
2025-01-04,Oakland,18.2,64.2,0.9,15.4
2025-01-04,Bakersfield,23.9,40.5,1.8,12.3
2025-01-04,Anaheim,14.2,72.9,2.6,6.2
2025-01-05,Los Angeles,14.3,60.8,2.2,15.3
2025-01-05,San Francisco,20.0,80.3,0.5,14.5
2025-01-05,San Diego,20.0,53.3,2.0,19.5
2025-01-05,Sacramento,17.0,51.5,0.0,14.2
2025-01-05,San Jose,27.0,62.7,1.9,16.4
2025-01-05,Fresno,15.8,43.9,6.1,9.1
2025-01-05,Long Beach,14.9,57.1,2.3,19.1
2025-01-05,Oakland,7.1,78.6,0.1,22.4
2025-01-05,Bakersfield,19.5,59.8,0.8,22.2
2025-01-05,Anaheim,19.6,59.2,0.6,12.8
2025-01-06,Los Angeles,29.5,73.4,6.1,17.5
2025-01-06,San Francisco,21.0,82.7,1.2,16.3
2025-01-06,San Diego,21.3,78.2,0.2,10.6
2025-01-06,Sacramento,20.5,56.5,6.1,12.3
2025-01-06,San Jose,28.4,42.3,1.7,15.5
2025-01-06,Fresno,13.5,62.8,0.4,23.5
2025-01-06,Long Beach,19.4,53.3,3.9,15.3
2025-01-06,Oakland,5.4,75.8,0.8,23.6
2025-01-06,Bakersfield,8.0,55.3,2.8,18.6
2025-01-06,Anaheim,30.4,70.1,1.6,9.6
2025-01-07,Los Angeles,12.4,56.9,1.8,19.3
2025-01-07,San Francisco,12.8,66.8,0.1,14.9
2025-01-07,San Diego,14.6,58.4,0.9,7.5
2025-01-07,Sacramento,20.7,42.0,0.3,13.0
2025-01-07,San Jose,25.8,64.7,7.1,11.2
2025-01-07,Fresno,19.9,65.4,1.2,15.7
2025-01-07,Long Beach,13.9,51.4,3.0,18.7
2025-01-07,Oakland,14.9,89.6,0.4,6.3
2025-01-07,Bakersfield,24.5,60.3,0.2,21.7
2025-01-07,Anaheim,19.8,58.3,0.6,5.5
2025-01-08,Los Angeles,16.9,54.5,1.4,23.6
2025-01-08,San Francisco,18.4,70.6,0.6,14.9
2025-01-08,San Diego,17.3,66.7,1.7,19.5
2025-01-08,Sacramento,20.9,43.8,0.5,8.1
2025-01-08,San Jose,28.5,55.4,3.2,13.5
2025-01-08,Fresno,19.2,61.4,2.6,22.6
2025-01-08,Long Beach,16.8,73.0,2.7,10.8
2025-01-08,Oakland,11.1,81.8,2.3,15.8
2025-01-08,Bakersfield,17.2,55.5,0.2,18.9
2025-01-08,Anaheim,18.8,53.5,4.9,24.1
2025-01-09,Los Angeles,28.9,68.9,2.4,9.7
2025-01-09,San Francisco,17.1,70.0,0.1,15.1
2025-01-09,San Diego,12.9,64.1,0.8,7.8
2025-01-09,Sacramento,17.1,54.5,0.3,9.2
2025-01-09,San Jose,16.1,61.2,1.4,23.6
2025-01-09,Fresno,18.0,56.2,1.3,9.4
2025-01-09,Long Beach,23.3,62.1,4.8,6.9
2025-01-09,Oakland,16.8,74.7,0.1,22.2
2025-01-09,Bakersfield,22.5,45.2,1.6,14.0
2025-01-09,Anaheim,8.6,76.8,0.2,13.1
2025-01-10,Los Angeles,23.2,62.1,2.4,8.8
2025-01-10,San Francisco,18.8,70.9,1.2,19.4
2025-01-10,San Diego,18.7,57.0,0.2,5.5
2025-01-10,Sacramento,23.7,69.9,1.2,9.0
2025-01-10,San Jose,14.7,62.1,0.3,16.9
2025-01-10,Fresno,19.4,43.2,0.7,7.3
2025-01-10,Long Beach,20.0,71.5,1.0,24.1
2025-01-10,Oakland,24.9,74.9,0.9,21.9
2025-01-10,Bakersfield,12.1,63.2,0.3,23.1
2025-01-10,Anaheim,25.6,68.7,0.2,14.7
2025-01-11,Los Angeles,17.7,54.6,0.7,15.9
2025-01-11,San Francisco,15.2,86.2,1.6,17.9
2025-01-11,San Diego,22.6,64.5,0.8,13.8
2025-01-11,Sacramento,17.6,53.7,1.4,21.6
2025-01-11,San Jose,17.4,49.1,0.4,11.4
2025-01-11,Fresno,19.3,58.6,2.2,9.4
2025-01-11,Long Beach,16.6,52.4,2.5,24.9
2025-01-11,Oakland,13.6,72.7,2.0,20.2
2025-01-11,Bakersfield,21.0,48.9,1.8,13.9
2025-01-11,Anaheim,20.8,71.6,1.0,18.9
2025-01-12,Los Angeles,23.7,72.0,0.9,13.7
2025-01-12,San Francisco,15.5,68.6,0.5,18.3
2025-01-12,San Diego,27.7,72.3,13.0,14.7
2025-01-12,Sacramento,16.1,41.7,1.6,23.7
2025-01-12,San Jose,23.8,42.6,0.6,7.3
2025-01-12,Fresno,22.2,50.5,3.8,11.1
2025-01-12,Long Beach,23.0,70.7,0.4,8.0
2025-01-12,Oakland,8.9,82.8,3.1,14.3
2025-01-12,Bakersfield,22.5,66.7,3.9,19.5
2025-01-12,Anaheim,15.6,75.4,0.6,16.2
2025-01-13,Los Angeles,19.4,59.0,3.1,24.1
2025-01-13,San Francisco,15.8,74.0,0.2,17.8
2025-01-13,San Diego,30.8,71.2,1.9,21.8
2025-01-13,Sacramento,8.9,44.4,2.3,19.6
2025-01-13,San Jose,11.9,62.1,0.2,12.4
2025-01-13,Fresno,19.5,69.7,0.2,13.8
2025-01-13,Long Beach,18.1,74.4,0.1,16.1
2025-01-13,Oakland,8.9,84.9,0.5,22.8
2025-01-13,Bakersfield,18.7,56.8,8.4,15.3
2025-01-13,Anaheim,21.8,73.5,1.0,9.6
2025-01-14,Los Angeles,15.9,56.7,2.6,13.9
2025-01-14,San Francisco,17.9,78.2,5.4,16.3
2025-01-14,San Diego,22.7,79.5,0.5,12.6
2025-01-14,Sacramento,10.8,50.7,0.4,21.9
2025-01-14,San Jose,20.5,69.0,1.7,17.1
2025-01-14,Fresno,16.5,60.3,2.2,9.7
2025-01-14,Long Beach,14.0,50.7,2.7,9.8
2025-01-14,Oakland,2.5,65.2,4.3,24.7
2025-01-14,Bakersfield,11.7,44.4,0.4,22.9
2025-01-14,Anaheim,25.5,56.7,3.1,24.8
2025-01-15,Los Angeles,26.4,64.7,0.3,23.3
2025-01-15,San Francisco,17.9,74.8,3.8,13.2
2025-01-15,San Diego,27.4,62.6,0.8,18.3
2025-01-15,Sacramento,22.6,45.1,4.0,8.7
2025-01-15,San Jose,24.0,45.5,2.5,15.5
2025-01-15,Fresno,28.0,48.1,0.5,13.9
2025-01-15,Long Beach,14.4,61.0,2.4,14.1
2025-01-15,Oakland,12.8,75.0,5.0,23.9
2025-01-15,Bakersfield,18.6,53.6,7.1,10.8
2025-01-15,Anaheim,20.7,79.6,0.1,11.1
2025-01-16,Los Angeles,18.4,53.6,0.2,9.0
2025-01-16,San Francisco,22.3,75.6,0.9,6.9
2025-01-16,San Diego,25.2,67.1,0.6,23.6
2025-01-16,Sacramento,9.3,63.7,4.9,17.4
2025-01-16,San Jose,9.5,66.1,0.8,20.5
2025-01-16,Fresno,10.0,65.7,3.8,6.8
2025-01-16,Long Beach,20.8,53.2,1.3,11.9
2025-01-16,Oakland,6.9,65.6,1.6,11.1
2025-01-16,Bakersfield,21.7,59.4,1.5,16.3
2025-01-16,Anaheim,18.7,71.6,1.8,24.7
2025-01-17,Los Angeles,13.2,51.9,3.5,11.4
2025-01-17,San Francisco,14.5,68.0,1.4,23.5
2025-01-17,San Diego,18.3,54.2,2.0,10.9
2025-01-17,Sacramento,15.7,66.7,1.7,5.6
2025-01-17,San Jose,15.1,49.3,7.2,11.6
2025-01-17,Fresno,17.2,50.8,2.2,19.1
2025-01-17,Long Beach,24.1,51.9,1.2,22.0
2025-01-17,Oakland,13.4,83.0,0.0,16.4
2025-01-17,Bakersfield,12.9,57.7,0.0,14.7
2025-01-17,Anaheim,16.0,76.5,0.3,8.3
2025-01-18,Los Angeles,22.8,51.8,0.4,16.5
2025-01-18,San Francisco,15.0,86.2,0.2,8.4
2025-01-18,San Diego,20.5,77.6,0.7,6.7
